Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year
2020-05-18,IRCTC,1310.5,1314.95,1263.6,1263.6,0.34,-3.579,-3.579,3.579,0.34,0.34,18,5,2020
2020-05-19,IRCTC,1265.0,1309.95,1245.65,1269.9,3.553,-1.53,0.387,3.553,1.53,1.53,19,5,2020
2020-05-20,IRCTC,1333.35,1333.35,1333.35,1333.35,0.0,0.0,0.0,0.0,0.0,0.0,20,5,2020
2020-05-21,IRCTC,1400.0,1400.0,1400.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,21,5,2020
2020-05-22,IRCTC,1449.0,1460.0,1400.0,1422.7,0.759,-3.382,-1.815,3.382,0.759,0.759,22,5,2020
2020-05-26,IRCTC,1449.0,1449.0,1373.0,1377.75,0.0,-5.245,-4.917,5.245,0.0,0.0,26,5,2020
2020-05-27,IRCTC,1347.0,1414.9,1331.0,1391.75,5.041,-1.188,3.322,5.041,1.188,1.188,27,5,2020
2020-05-28,IRCTC,1389.0,1404.0,1362.0,1381.3,1.08,-1.944,-0.554,1.944,1.08,1.08,28,5,2020
2020-05-29,IRCTC,1380.0,1422.0,1366.35,1410.35,3.043,-0.989,2.199,3.043,0.989,0.989,29,5,2020
2020-06-01,IRCTC,1450.0,1450.0,1411.4,1415.75,0.0,-2.662,-2.362,2.662,0.0,0.0,1,6,2020
2020-06-02,IRCTC,1422.0,1425.0,1402.0,1409.85,0.211,-1.406,-0.854,1.406,0.211,0.211,2,6,2020
2020-06-03,IRCTC,1415.0,1421.65,1389.0,1392.55,0.47,-1.837,-1.587,1.837,0.47,0.47,3,6,2020
2020-06-04,IRCTC,1397.5,1439.9,1381.6,1431.45,3.034,-1.138,2.429,3.034,1.138,1.138,4,6,2020
2020-06-05,IRCTC,1458.9,1487.5,1436.0,1456.2,1.96,-1.57,-0.185,1.96,1.57,1.57,5,6,2020
2020-06-08,IRCTC,1470.0,1595.0,1458.85,1532.15,8.503,-0.759,4.228,8.503,0.759,0.759,8,6,2020
2020-06-09,IRCTC,1546.0,1570.0,1472.0,1493.4,1.552,-4.787,-3.402,4.787,1.552,1.552,9,6,2020
2020-06-10,IRCTC,1496.0,1506.85,1437.0,1454.55,0.725,-3.944,-2.771,3.944,0.725,0.725,10,6,2020
2020-06-11,IRCTC,1454.5,1477.95,1425.55,1433.35,1.612,-1.99,-1.454,1.99,1.612,1.612,11,6,2020
2020-06-12,IRCTC,1341.0,1444.0,1341.0,1425.25,7.681,0.0,6.283,7.681,0.0,0.0,12,6,2020
2020-06-15,IRCTC,1425.0,1449.0,1410.65,1423.25,1.684,-1.007,-0.123,1.684,1.007,1.007,15,6,2020
2020-06-16,IRCTC,1445.0,1452.75,1380.8,1411.05,0.536,-4.443,-2.349,4.443,0.536,0.536,16,6,2020
2020-06-17,IRCTC,1390.0,1417.8,1386.05,1395.1,2.0,-0.284,0.367,2.0,0.284,0.284,17,6,2020
2020-06-18,IRCTC,1400.0,1427.7,1391.35,1409.6,1.979,-0.618,0.686,1.979,0.618,0.618,18,6,2020
2020-06-19,IRCTC,1420.0,1446.0,1415.0,1423.95,1.831,-0.352,0.278,1.831,0.352,0.352,19,6,2020
2020-06-22,IRCTC,1430.0,1442.0,1412.1,1416.4,0.839,-1.252,-0.951,1.252,0.839,0.839,22,6,2020
2020-06-23,IRCTC,1426.0,1497.5,1418.0,1450.8,5.014,-0.561,1.739,5.014,0.561,0.561,23,6,2020
2020-06-24,IRCTC,1461.95,1479.0,1417.3,1421.0,1.166,-3.054,-2.801,3.054,1.166,1.166,24,6,2020
2020-06-25,IRCTC,1410.0,1429.95,1392.0,1412.35,1.415,-1.277,0.167,1.415,1.277,1.277,25,6,2020
2020-06-26,IRCTC,1349.0,1404.0,1340.0,1382.25,4.077,-0.667,2.465,4.077,0.667,0.667,26,6,2020
2020-06-29,IRCTC,1370.0,1370.0,1350.05,1355.85,0.0,-1.456,-1.033,1.456,0.0,0.0,29,6,2020
2020-06-30,IRCTC,1370.0,1384.95,1356.1,1358.65,1.091,-1.015,-0.828,1.091,1.015,1.015,30,6,2020
2020-07-01,IRCTC,1363.65,1377.0,1356.0,1363.05,0.979,-0.561,-0.044,0.979,0.561,0.561,1,7,2020
2020-07-02,IRCTC,1440.0,1467.8,1395.3,1412.35,1.931,-3.104,-1.92,3.104,1.931,1.931,2,7,2020
2020-07-03,IRCTC,1415.0,1425.0,1398.0,1405.1,0.707,-1.201,-0.7,1.201,0.707,0.707,3,7,2020
2020-07-06,IRCTC,1405.5,1415.5,1394.0,1400.75,0.711,-0.818,-0.338,0.818,0.711,0.711,6,7,2020
2020-07-07,IRCTC,1410.0,1411.0,1390.05,1397.4,0.071,-1.415,-0.894,1.415,0.071,0.071,7,7,2020
2020-07-08,IRCTC,1397.0,1413.35,1384.6,1390.1,1.17,-0.888,-0.494,1.17,0.888,0.888,8,7,2020
2020-07-09,IRCTC,1396.0,1400.0,1381.15,1385.05,0.287,-1.064,-0.784,1.064,0.287,0.287,9,7,2020
2020-07-10,IRCTC,1375.0,1444.0,1360.0,1400.95,5.018,-1.091,1.887,5.018,1.091,1.091,10,7,2020
2020-07-13,IRCTC,1444.0,1444.0,1386.35,1397.35,0.0,-3.992,-3.231,3.992,0.0,0.0,13,7,2020
