Unnamed: 0.1,Unnamed: 0,symbol,month,year,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,stploss,trgt,profit,cumsum,cumprod
95,95,SUZLON,12,2021,7.0,10.2,6.6,10.2,45.714,-5.714,45.714,45.714,5.714,5.714,0.01,26.3,-0.02,199.138,3.5375101759862564
96,96,SUZLON,1,2022,10.7,13.1,9.3,11.95,22.43,-13.084,11.682,22.43,13.084,13.084,0.01,26.3,-0.02,191.118,3.2538018598721585
97,97,SUZLON,2,2022,12.5,12.5,8.65,9.4,0.0,-30.8,-24.8,30.8,0.0,0.0,0.01,26.3,26.29,217.008,4.096211161393061
98,98,SUZLON,3,2022,9.3,10.35,8.95,9.15,11.29,-3.763,-1.613,11.29,3.763,3.763,0.01,26.3,-0.02,214.611,3.998024979854469
99,99,SUZLON,4,2022,9.2,12.35,9.15,10.0,34.239,-0.543,8.696,34.239,0.543,0.543,0.01,26.3,-0.02,240.501,5.033113647138792
100,100,SUZLON,5,2022,9.75,10.35,7.4,8.55,6.154,-24.103,-12.308,24.103,6.154,6.154,0.01,26.3,-0.02,232.481,4.62945793263826
101,101,SUZLON,6,2022,8.9,10.25,6.8,6.85,15.169,-23.596,-23.034,23.596,15.169,15.169,0.01,26.3,-0.02,224.461,4.258175406440672
102,102,SUZLON,7,2022,6.75,6.95,5.9,6.6,2.963,-12.593,-2.222,12.593,2.963,2.963,0.01,26.3,-0.02,222.673,4.182039230173513
103,103,SUZLON,8,2022,6.75,9.3,6.55,8.2,37.778,-2.963,21.481,37.778,2.963,2.963,0.01,26.3,-0.02,248.563,5.264769186865435
104,104,SUZLON,9,2022,8.15,11.7,7.95,8.7,43.558,-2.454,6.748,43.558,2.454,2.454,0.01,26.3,-0.02,274.4529999999999,6.627817929344897
105,105,SUZLON,10,2022,7.6,9.6,6.6,7.95,26.316,-13.158,4.605,26.316,13.158,13.158,0.01,26.3,-0.02,266.43299999999994,6.096266931411436
106,106,SUZLON,11,2022,8.05,9.35,7.8,9.25,16.149,-3.106,14.907,16.149,3.106,3.106,0.01,26.3,-0.02,277.3299999999999,6.76057713892734
107,107,SUZLON,12,2022,9.4,12.15,8.85,10.6,29.255,-5.851,12.766,29.255,5.851,5.851,0.01,26.3,-0.02,269.30999999999995,6.218378852385367
108,108,SUZLON,1,2023,10.7,11.0,8.8,9.8,2.804,-17.757,-8.411,17.757,2.804,2.804,0.01,26.3,-0.02,273.711,6.492049705678848
109,109,SUZLON,2,2023,10.1,10.2,8.05,8.2,0.99,-20.297,-18.812,20.297,0.99,0.99,0.01,26.3,-0.02,288.513,7.453002903113431
110,110,SUZLON,3,2023,8.25,8.95,6.95,7.9,8.485,-15.758,-4.242,15.758,8.485,8.485,0.01,26.3,-0.02,280.493,6.855272070283734
111,111,SUZLON,4,2023,7.9,8.75,7.9,8.3,10.759,0.0,5.063,10.759,0.0,0.0,0.01,26.3,5.053,281.546,6.927458085183821
112,112,SUZLON,5,2023,8.35,11.85,7.9,11.75,41.916,-5.389,40.719,41.916,5.389,5.389,0.01,26.3,-0.02,273.526,6.371875946752078
113,113,SUZLON,6,2023,11.85,15.75,10.85,15.3,32.911,-8.439,29.114,32.911,8.439,8.439,0.01,26.3,-0.02,265.50600000000003,5.860851495822561
114,114,SUZLON,7,2023,15.75,20.8,15.75,18.95,32.063,0.0,20.317,32.063,0.0,0.0,0.01,26.3,26.29,291.396,7.378225948091023
115,115,SUZLON,8,2023,19.55,27.05,17.7,24.55,38.363,-9.463,25.575,38.363,9.463,9.463,0.01,26.3,-0.02,283.37600000000003,6.786492227054123
116,116,SUZLON,9,2023,24.55,26.4,21.7,25.8,7.536,-11.609,5.092,11.609,7.536,7.536,0.01,26.3,-0.02,275.35600000000005,6.242215550444382
117,117,SUZLON,10,2023,25.95,34.1,25.75,30.6,31.407,-0.771,17.919,31.407,0.771,0.771,0.01,26.3,-0.02,301.24600000000004,7.858325156454434
118,118,SUZLON,11,2023,30.7,44.0,30.6,40.75,43.322,-0.326,32.736,43.322,0.326,0.326,0.01,26.3,-0.02,327.136,9.892845539460488
119,119,SUZLON,12,2023,40.0,41.0,33.9,38.2,2.5,-15.25,-4.5,15.25,2.5,2.5,0.01,26.3,-0.02,327.62600000000003,9.941320482603844
120,120,SUZLON,1,2024,38.5,45.95,37.1,45.95,19.351,-3.636,19.351,19.351,3.636,3.636,0.01,26.3,-0.02,342.96700000000004,11.4664184578401
121,121,SUZLON,2,2024,47.3,50.6,41.05,45.25,6.977,-13.214,-4.334,13.214,6.977,6.977,0.01,26.3,-0.02,334.94700000000006,10.546811697521324
122,122,SUZLON,3,2024,45.6,46.0,35.5,40.4,0.877,-22.149,-11.404,22.149,0.877,0.877,0.01,26.3,-0.02,342.34100000000007,11.32664295443605
123,123,SUZLON,4,2024,39.95,44.6,38.4,41.6,11.64,-3.88,4.13,11.64,3.88,3.88,0.01,26.3,-0.02,342.46100000000007,11.340234925981374
124,124,SUZLON,5,2024,41.6,49.0,37.9,47.65,17.788,-8.894,14.543,17.788,8.894,8.894,0.01,26.3,-0.02,334.4410000000001,10.430748084917669
125,125,SUZLON,6,2024,50.0,55.7,45.15,52.86,11.4,-9.7,5.72,11.4,9.7,9.7,0.01,26.3,-0.02,326.4210000000001,9.59420208850727
126,126,SUZLON,7,2024,53.2,70.89,52.43,69.38,33.252,-1.447,30.414,33.252,1.447,1.447,0.01,26.3,-0.02,352.3110000000001,12.078141009221804
127,127,SUZLON,8,2024,69.93,84.29,65.6,78.84,20.535,-6.192,12.741,20.535,6.192,6.192,0.01,26.3,-0.02,344.2910000000001,11.109474100282217
