,Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year,stploss,trgt,profit,cumsum,cumprod
679,2023-01-27,NTPC,1035.1,1035.1,1035.1,1035.1,0.0,0.0,0.0,0.0,0.0,0.0,27,1,2023,0.01,29.9,-0.01,421.63400000000314,55.94884733484443
680,2023-01-27,NTPC,1180.0,1185.0,1180.0,1185.0,0.424,0.0,0.424,0.424,0.0,0.0,27,1,2023,0.01,29.9,0.414,422.0480000000031,56.180475562810685
681,2023-01-27,NTPC,1323.0,1323.0,1305.0,1323.0,0.0,-1.361,0.0,1.361,0.0,0.0,27,1,2023,0.01,29.9,-0.01,422.03800000000314,56.1748575152544
682,2023-01-27,NTPC,13.58,13.59,13.4,13.55,0.074,-1.325,-0.221,1.325,0.074,0.074,27,1,2023,0.01,29.9,-0.02,422.01800000000316,56.16362254375135
683,2023-01-27,NTPC,1151.0,1151.0,1138.0,1138.0,0.0,-1.129,-1.129,1.129,0.0,0.0,27,1,2023,0.01,29.9,1.119,423.1370000000032,56.79209348001593
684,2023-01-30,NTPC,167.6,172.25,167.1,168.85,2.774,-0.298,0.746,2.774,0.298,0.298,30,1,2023,0.01,29.9,-0.02,423.1170000000032,56.78073506131992
685,2023-01-30,NTPC,1036.1,1037.0,1036.1,1037.0,0.087,0.0,0.087,0.087,0.0,0.0,30,1,2023,0.01,29.9,0.077,423.1940000000032,56.824456227317135
686,2023-01-30,NTPC,1185.0,1185.0,1185.0,1185.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,2023,0.01,29.9,-0.01,423.1840000000032,56.818773781694404
687,2023-01-30,NTPC,13.55,13.6,13.5,13.57,0.369,-0.369,0.148,0.369,0.369,0.369,30,1,2023,0.01,29.9,-0.02,423.1640000000032,56.807410026938065
688,2023-01-31,NTPC,169.85,172.65,167.35,171.15,1.649,-1.472,0.765,1.649,1.472,1.472,31,1,2023,0.01,29.9,-0.02,423.14400000000325,56.79604854493268
689,2023-01-31,NTPC,1185.0,1185.0,1185.0,1185.0,0.0,0.0,0.0,0.0,0.0,0.0,31,1,2023,0.01,29.9,-0.01,423.13400000000325,56.79036894007819
690,2023-01-31,NTPC,13.55,13.6,13.53,13.59,0.369,-0.148,0.295,0.369,0.148,0.148,31,1,2023,0.01,29.9,-0.02,423.1140000000033,56.77901086629017
691,2023-01-31,NTPC,1060.0,1060.0,1060.0,1060.0,0.0,0.0,0.0,0.0,0.0,0.0,31,1,2023,0.01,29.9,-0.01,423.1040000000033,56.773332965203544
692,2023-01-31,NTPC,1285.0,1288.0,1285.0,1288.0,0.233,0.0,0.233,0.233,0.0,0.0,31,1,2023,0.01,29.9,0.223,423.3270000000033,56.899937497715946
693,2023-02-01,NTPC,172.25,173.8,167.2,170.0,0.9,-2.932,-1.306,2.932,0.9,0.9,1,2,2023,0.01,29.9,-0.02,423.3070000000033,56.8885575102164
694,2023-02-01,NTPC,1185.0,1185.0,1185.0,1185.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2023,0.01,29.9,-0.01,423.2970000000033,56.88286865446538
695,2023-02-01,NTPC,1323.0,1323.0,1323.0,1323.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2023,0.01,29.9,-0.01,423.28700000000333,56.87718036759994
696,2023-02-01,NTPC,13.56,13.59,13.56,13.59,0.221,0.0,0.221,0.221,0.0,0.0,1,2,2023,0.01,29.9,0.211,423.49800000000334,56.99719121817558
697,2023-02-01,NTPC,1080.0,1080.0,1080.0,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2023,0.01,29.9,-0.01,423.48800000000335,56.991491499053765
698,2023-02-01,NTPC,1215.5,1215.5,1215.5,1215.5,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2023,0.01,29.9,-0.01,423.47800000000336,56.98579234990386
699,2023-02-02,NTPC,170.0,170.85,165.5,166.9,0.5,-2.647,-1.824,2.647,0.5,0.5,2,2,2023,0.01,29.9,-0.02,423.4580000000034,56.97439519143388
700,2023-02-02,NTPC,13.59,13.6,13.52,13.52,0.074,-0.515,-0.515,0.515,0.074,0.074,2,2,2023,0.01,29.9,-0.02,423.4380000000034,56.96300031239559
701,2023-02-03,NTPC,164.5,166.45,162.55,165.55,1.185,-1.185,0.638,1.185,1.185,1.185,3,2,2023,0.01,29.9,-0.02,423.4180000000034,56.951607712333114
702,2023-02-03,NTPC,1185.0,1185.0,1185.0,1185.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,2023,0.01,29.9,-0.01,423.4080000000034,56.94591255156188
703,2023-02-03,NTPC,13.52,13.59,13.52,13.56,0.518,0.0,0.296,0.518,0.0,0.0,3,2,2023,0.01,29.9,0.286,423.6940000000034,57.10877786145935
704,2023-02-03,NTPC,1218.0,1230.0,1218.0,1230.0,0.985,0.0,0.985,0.985,0.0,0.0,3,2,2023,0.01,29.9,0.975,424.66900000000345,57.66558844560858
705,2023-02-06,NTPC,164.5,166.85,164.05,166.05,1.429,-0.274,0.942,1.429,0.274,0.274,6,2,2023,0.01,29.9,-0.02,424.64900000000347,57.65405532791946
706,2023-02-06,NTPC,1299.0,1329.0,1299.0,1329.0,2.309,0.0,2.309,2.309,0.0,0.0,6,2,2023,0.01,29.9,2.2990000000000004,426.94800000000345,58.979522059908334
707,2023-02-06,NTPC,13.56,13.63,13.46,13.58,0.516,-0.737,0.147,0.737,0.516,0.516,6,2,2023,0.01,29.9,-0.02,426.92800000000346,58.96772615549635
708,2023-02-06,NTPC,1060.0,1060.0,1060.0,1060.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,2023,0.01,29.9,-0.01,426.9180000000035,58.9618293828808
709,2023-02-07,NTPC,166.5,167.7,164.3,165.25,0.721,-1.321,-0.751,1.321,0.721,0.721,7,2,2023,0.01,29.9,-0.02,426.8980000000035,58.95003701700423
710,2023-02-07,NTPC,1316.0,1317.0,1316.0,1316.0,0.076,0.0,0.0,0.076,0.0,0.0,7,2,2023,0.01,29.9,-0.01,426.8880000000035,58.944142013302525
711,2023-02-07,NTPC,13.5,13.64,13.5,13.59,1.037,0.0,0.667,1.037,0.0,0.0,7,2,2023,0.01,29.9,0.657,427.5450000000035,59.33140502632992
712,2023-02-08,NTPC,165.6,165.75,164.1,165.5,0.091,-0.906,-0.06,0.906,0.091,0.091,8,2,2023,0.01,29.9,-0.02,427.5250000000035,59.31953874532466
713,2023-02-08,NTPC,1200.0,1200.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,2023,0.01,29.9,-0.01,427.5150000000035,59.31360679145013
